Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage 2,Women's Contender,Group B,2,Single game,¡kick it!,Las pistoleras,¡kick it!,15,6,,,,,Sophie Neuer,Charlotte Jones,ines guilmain,Delilah Meyer
Group Stage 2,Women's Contender,Group B,2,Single game,Les Besties 🪐✨,Raunetizadas,Les Besties 🪐✨,15,13,,,,,Naiara Vidal,Ana Zurita,Nerea Eguiguren,Sol Rodríguez
Group Stage 2,Women's Contender,Group A,3,Single game,Pit i Ovaris,Som-hi,Som-hi,10,15,,,,,angela jiménez,Marta Andreu Dueñas,Hanna Gebel,Helena Molina Raga
Group Stage 2,Women's Contender,Group A,3,Single game,Carina/Margaux,Por La Shark,Por La Shark,12,15,,,,,Margaux Thieren,Carina Kuo,Alyssa Yee,Adriana Lucia Valiente
Group Stage 2,Women's Contender,Group B,3,Single game,¡kick it!,Les Besties 🪐✨,¡kick it!,15,9,,,,,Sophie Neuer,Charlotte Jones,Naiara Vidal,Ana Zurita
Group Stage 2,Women's Contender,Group B,3,Single game,Las pistoleras,Raunetizadas,Las pistoleras,15,9,,,,,ines guilmain,Delilah Meyer,Nerea Eguiguren,Sol Rodríguez
Group Stage 2,Women's Contender,Group A,4,Single game,Pit i Ovaris,Por La Shark,Por La Shark,13,15,,,,,angela jiménez,Marta Andreu Dueñas,Alyssa Yee,Adriana Lucia Valiente
Group Stage 2,Women's Contender,Group A,4,Single game,Som-hi,Carina/Margaux,Som-hi,15,13,,,,,Hanna Gebel,Helena Molina Raga,Margaux Thieren,Carina Kuo
Group Stage 2,Women's Contender,Group B,4,Single game,¡kick it!,Raunetizadas,¡kick it!,15,6,,,,,Sophie Neuer,Charlotte Jones,Nerea Eguiguren,Sol Rodríguez
Group Stage 2,Women's Contender,Group B,4,Single game,Les Besties 🪐✨,Las pistoleras,Les Besties 🪐✨,15,5,,,,,Naiara Vidal,Ana Zurita,ines guilmain,Delilah Meyer
Group Stage 2,Women's Contender,Group A,5,Single game,Pit i Ovaris,Carina/Margaux,Pit i Ovaris,15,13,,,,,angela jiménez,Marta Andreu Dueñas,Margaux Thieren,Carina Kuo
Group Stage 2,Women's Contender,Group A,5,Single game,Som-hi,Por La Shark,Som-hi,15,8,,,,,Hanna Gebel,Helena Molina Raga,Alyssa Yee,Adriana Lucia Valiente
Group Stage 2,Women's Contender,Group B,5,Single game,¡kick it!,Las pistoleras,¡kick it!,15,5,,,,,Sophie Neuer,Charlotte Jones,ines guilmain,Delilah Meyer
Group Stage 2,Women's Contender,Group B,5,Single game,Les Besties 🪐✨,Raunetizadas,Les Besties 🪐✨,15,6,,,,,Naiara Vidal,Ana Zurita,Nerea Eguiguren,Sol Rodríguez
